source_id	source_type	canonical_gene_id	evidence_path	evidence_kind
FGSG_00065	FGSG	fgraminearum::FGRAMPH1_01G00209	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00065	FGSG	fgraminearum::FGRAMPH1_01G00209	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00066	FGSG	fgraminearum::FGRAMPH1_01G00213	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00066	FGSG	fgraminearum::FGRAMPH1_01G00213	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00067	FGSG	fgraminearum::FGRAMPH1_01G00215	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00067	FGSG	fgraminearum::FGRAMPH1_01G00215	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00068	FGSG	fgraminearum::FGRAMPH1_01G00217	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00068	FGSG	fgraminearum::FGRAMPH1_01G00217	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00069	FGSG	fgraminearum::FGRAMPH1_01G00219	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00069	FGSG	fgraminearum::FGRAMPH1_01G00219	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00070	FGSG	fgraminearum::FGRAMPH1_01G00221	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00070	FGSG	fgraminearum::FGRAMPH1_01G00221	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00071	FGSG	fgraminearum::FGRAMPH1_01G00223	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00071	FGSG	fgraminearum::FGRAMPH1_01G00223	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00072	FGSG	fgraminearum::FGRAMPH1_01G00225	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00072	FGSG	fgraminearum::FGRAMPH1_01G00225	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00073	FGSG	fgraminearum::FGRAMPH1_01G00227	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00073	FGSG	fgraminearum::FGRAMPH1_01G00227	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00074	FGSG	fgraminearum::FGRAMPH1_01G00229	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00074	FGSG	fgraminearum::FGRAMPH1_01G00229	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00075	FGSG	fgraminearum::FGRAMPH1_01G00233	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00075	FGSG	fgraminearum::FGRAMPH1_01G00233	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00076	FGSG	fgraminearum::FGRAMPH1_01G00235	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00076	FGSG	fgraminearum::FGRAMPH1_01G00235	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00077	FGSG	fgraminearum::FGRAMPH1_01G00237	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00077	FGSG	fgraminearum::FGRAMPH1_01G00237	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00078	FGSG	fgraminearum::FGRAMPH1_01G00239	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00078	FGSG	fgraminearum::FGRAMPH1_01G00239	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00079	FGSG	fgraminearum::FGRAMPH1_01G00241	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00079	FGSG	fgraminearum::FGRAMPH1_01G00241	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00080	FGSG	fgraminearum::FGRAMPH1_01G00243	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00081	FGSG	fgraminearum::FGRAMPH1_01G00245	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00081	FGSG	fgraminearum::FGRAMPH1_01G00245	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00082	FGSG	fgraminearum::FGRAMPH1_01G00247	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00082	FGSG	fgraminearum::FGRAMPH1_01G00247	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00083	FGSG	fgraminearum::FGRAMPH1_01G00249	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00083	FGSG	fgraminearum::FGRAMPH1_01G00249	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00084	FGSG	fgraminearum::FGRAMPH1_01G00251	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00084	FGSG	fgraminearum::FGRAMPH1_01G00251	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00085	FGSG	fgraminearum::FGRAMPH1_01G00253	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00085	FGSG	fgraminearum::FGRAMPH1_01G00253	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00087	FGSG	fgraminearum::FGRAMPH1_01G00259	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00087	FGSG	fgraminearum::FGRAMPH1_01G00259	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00089	FGSG	fgraminearum::FGRAMPH1_01G00265	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00089	FGSG	fgraminearum::FGRAMPH1_01G00265	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00090	FGSG	fgraminearum::FGRAMPH1_01G00267	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00090	FGSG	fgraminearum::FGRAMPH1_01G00267	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00091	FGSG	fgraminearum::FGRAMPH1_01G00269	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00091	FGSG	fgraminearum::FGRAMPH1_01G00269	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00092	FGSG	fgraminearum::FGRAMPH1_01G00273	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00092	FGSG	fgraminearum::FGRAMPH1_01G00273	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
