source_layer	source_node	target_layer	target_node	count
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002210	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002222	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002223	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002224	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002232	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002233	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002234	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002241	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002244	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002245	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002246	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002254	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002264	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002270	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002272	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002275	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002277	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002278	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002281	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002285	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002297	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002298	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002303	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002305	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002306	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002308	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002322	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002325	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002328	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002330	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002332	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002333	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002338	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002342	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002352	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002353	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002354	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002356	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002358	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002374	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002377	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002378	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002380	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002382	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002385	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002398	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002406	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002411	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002421	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002424	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002425	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002426	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002439	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002440	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002444	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002446	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002448	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002449	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002467	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002469	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002472	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002476	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002479	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002484	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002489	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002490	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002494	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002498	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002500	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002501	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002502	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002504	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002510	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002512	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002513	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002519	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002521	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002526	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002527	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002529	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002532	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002537	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002544	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002559	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002562	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002564	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002569	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002571	1
