fusion_method	threshold	metric	mean	sd	n	split_used
Concat	0.93	recall	0.31050228310502287	0.019640012025211474	5	test
Concat	0.94	recall	0.27671232876712326	0.022967628018190488	5	test
Concat	0.95	recall	0.24474885844748856	0.022739542644728276	5	test
Concat	0.96	recall	0.2063926940639269	0.025300265163826607	5	test
Concat	0.97	recall	0.16164383561643836	0.03575082946312946	5	test
Concat	0.98	recall	0.1004566210045662	0.02976804751234086	5	test
Concat	0.99	recall	0.04474885844748858	0.01307563567422498	5	test
Concat	1.0	recall	0.0	0.0	5	test
Gated	0.0	recall	1.0	0.0	5	test
Gated	0.01	recall	0.9652968036529682	0.010512204961845975	5	test
Gated	0.02	recall	0.9561643835616438	0.009468694681884823	5	test
Gated	0.03	recall	0.9525114155251142	0.011907219004936343	5	test
Gated	0.04	recall	0.9470319634703197	0.016014317732191957	5	test
Gated	0.05	recall	0.9442922374429223	0.01658986495395887	5	test
Gated	0.06	recall	0.9378995433789953	0.01534953088033939	5	test
Gated	0.07	recall	0.9315068493150684	0.016777327005364225	5	test
Gated	0.08	recall	0.9278538812785389	0.01921067029037681	5	test
Gated	0.09	recall	0.9232876712328766	0.01974588886798142	5	test
Gated	0.1	recall	0.9168949771689497	0.023814438009872693	5	test
Gated	0.11	recall	0.9150684931506848	0.02319347050082246	5	test
Gated	0.12	recall	0.9114155251141552	0.02450485454794291	5	test
Gated	0.13	recall	0.9077625570776255	0.02381443800987269	5	test
Gated	0.14	recall	0.9041095890410957	0.023283194125994455	5	test
Gated	0.15	recall	0.9004566210045661	0.025093391167185553	5	test
Gated	0.16	recall	0.8986301369863015	0.026310247106644633	5	test
Gated	0.17	recall	0.8949771689497718	0.02305823045288147	5	test
Gated	0.18	recall	0.8940639269406393	0.021024409923691933	5	test
Gated	0.19	recall	0.8913242009132422	0.02000812995452662	5	test
Gated	0.2	recall	0.8904109589041097	0.02067439529255119	5	test
Gated	0.21	recall	0.8885844748858448	0.01953356131160494	5	test
Gated	0.22	recall	0.8840182648401826	0.019798614966829962	5	test
Gated	0.23	recall	0.8831050228310502	0.020060166791313984	5	test
Gated	0.24	recall	0.8831050228310502	0.020060166791313984	5	test
Gated	0.25	recall	0.8831050228310502	0.020060166791313984	5	test
Gated	0.26	recall	0.8831050228310502	0.020060166791313984	5	test
Gated	0.27	recall	0.8821917808219177	0.018092797037588076	5	test
Gated	0.28	recall	0.8785388127853881	0.012752730633578954	5	test
Gated	0.29	recall	0.8757990867579908	0.011369771322364134	5	test
Gated	0.3	recall	0.8757990867579908	0.011369771322364134	5	test
Gated	0.31	recall	0.8757990867579908	0.011369771322364134	5	test
Gated	0.32	recall	0.8748858447488583	0.012337220169960071	5	test
Gated	0.33	recall	0.8721461187214612	0.015144405435412784	5	test
Gated	0.34	recall	0.869406392694064	0.013155123553322339	5	test
Gated	0.35	recall	0.8639269406392694	0.01594908602426754	5	test
Gated	0.36	recall	0.8621004566210045	0.01690114659664086	5	test
Gated	0.37	recall	0.8566210045662099	0.018435277843092537	5	test
Gated	0.38	recall	0.8538812785388128	0.019903648144021326	5	test
Gated	0.39	recall	0.8520547945205479	0.021319849369732875	5	test
Gated	0.4	recall	0.8493150684931507	0.019903648144021353	5	test
Gated	0.41	recall	0.847488584474886	0.020825121919618956	5	test
Gated	0.42	recall	0.8447488584474886	0.022135524463088276	5	test
Gated	0.43	recall	0.8374429223744292	0.02363868329779869	5	test
Gated	0.44	recall	0.8365296803652967	0.024032323957882674	5	test
Gated	0.45	recall	0.8347031963470319	0.022693650483633226	5	test
Gated	0.46	recall	0.832876712328767	0.024075664523222046	5	test
Gated	0.47	recall	0.8310502283105023	0.02260158661326863	5	test
Gated	0.48	recall	0.8310502283105023	0.02260158661326863	5	test
Gated	0.49	recall	0.8292237442922374	0.020573297399212445	5	test
Gated	0.5	recall	0.8273972602739725	0.01690114659664087	5	test
Gated	0.51	recall	0.8246575342465754	0.01392506911596064	5	test
Gated	0.52	recall	0.8246575342465754	0.01392506911596064	5	test
Gated	0.53	recall	0.8210045662100457	0.012670718653435246	5	test
Gated	0.54	recall	0.8210045662100457	0.012670718653435246	5	test
Gated	0.55	recall	0.8146118721461187	0.006925000405526541	5	test
Gated	0.56	recall	0.8127853881278538	0.006457596175219612	5	test
Gated	0.57	recall	0.8082191780821917	0.009686394262829391	5	test
Gated	0.58	recall	0.8045662100456621	0.01090167706512631	5	test
Gated	0.59	recall	0.8009132420091325	0.00764073083592763	5	test
Gated	0.6	recall	0.7990867579908676	0.008542596773456501	5	test
Gated	0.61	recall	0.7945205479452054	0.008542596773456472	5	test
Gated	0.62	recall	0.7890410958904109	0.014221380367486254	5	test
Gated	0.63	recall	0.7872146118721461	0.013545568012960115	5	test
Gated	0.64	recall	0.782648401826484	0.01665258678430177	5	test
Gated	0.65	recall	0.7789954337899544	0.021319849369732875	5	test
Gated	0.66	recall	0.7726027397260274	0.021024409923691957	5	test
Gated	0.67	recall	0.7625570776255708	0.020674395292551166	5	test
Gated	0.68	recall	0.7570776255707763	0.024248252141281727	5	test
Gated	0.69	recall	0.7497716894977169	0.02488479743093826	5	test
Gated	0.7	recall	0.7424657534246574	0.02450485454794289	5	test
Gated	0.71	recall	0.7360730593607305	0.02570901965344153	5	test
Gated	0.72	recall	0.726027397260274	0.028332588232855834	5	test
Gated	0.73	recall	0.719634703196347	0.030391892771312757	5	test
Gated	0.74	recall	0.7105022831050227	0.027321050779272313	5	test
Gated	0.75	recall	0.6931506849315069	0.026310247106644626	5	test
Gated	0.76	recall	0.6757990867579908	0.02720633627354562	5	test
Gated	0.77	recall	0.6648401826484018	0.027511178687474085	5	test
Gated	0.78	recall	0.6438356164383561	0.02350600488809815	5	test
Gated	0.79	recall	0.6310502283105024	0.030012194931789936	5	test
Gated	0.8	recall	0.6136986301369862	0.03545802494669802	5	test
Gated	0.81	recall	0.5981735159817352	0.037236316050913446	5	test
Gated	0.82	recall	0.5762557077625571	0.0431259139839912	5	test
Gated	0.83	recall	0.5589041095890411	0.05897309330032126	5	test
Gated	0.84	recall	0.5360730593607306	0.06462437557512977	5	test
Gated	0.85	recall	0.5205479452054794	0.06521852446157855	5	test
Gated	0.86	recall	0.49132420091324197	0.0640572709287678	5	test
Gated	0.87	recall	0.4666666666666666	0.05788470489605739	5	test
Gated	0.88	recall	0.44383561643835606	0.06035348291059205	5	test
Gated	0.89	recall	0.40913242009132417	0.0611428995114904	5	test
Gated	0.9	recall	0.3726027397260274	0.0764482298877081	5	test
Gated	0.91	recall	0.33424657534246577	0.0779204712610102	5	test
Gated	0.92	recall	0.30410958904109586	0.07085722279916282	5	test
Gated	0.93	recall	0.26666666666666666	0.07352874332640706	5	test
Gated	0.94	recall	0.2219178082191781	0.07324462810881383	5	test
Gated	0.95	recall	0.16986301369863013	0.06043978852154994	5	test
Gated	0.96	recall	0.11963470319634703	0.050682874613741026	5	test
Gated	0.97	recall	0.06666666666666667	0.03949177773596283	5	test
Gated	0.98	recall	0.026484018264840183	0.024674440339920174	5	test
Gated	0.99	recall	0.0009132420091324201	0.002042071212328575	5	test
Gated	1.0	recall	0.0	0.0	5	test
Gated+WBCE	0.0	recall	1.0	0.0	5	test
Gated+WBCE	0.01	recall	0.9561643835616438	0.012337220169960113	5	test
Gated+WBCE	0.02	recall	0.9406392694063926	0.014796211640200575	5	test
Gated+WBCE	0.03	recall	0.9296803652968035	0.01534953088033939	5	test
Gated+WBCE	0.04	recall	0.919634703196347	0.018150325949179737	5	test
Gated+WBCE	0.05	recall	0.9123287671232877	0.01690114659664087	5	test
Gated+WBCE	0.06	recall	0.9050228310502282	0.01974588886798142	5	test
Gated+WBCE	0.07	recall	0.8949771689497716	0.025830384700878464	5	test
Gated+WBCE	0.08	recall	0.8894977168949773	0.024032323957882684	5	test
Gated+WBCE	0.09	recall	0.8858447488584474	0.021172644966885174	5	test
Gated+WBCE	0.1	recall	0.8794520547945206	0.021803354130252632	5	test
Gated+WBCE	0.11	recall	0.8776255707762557	0.023814438009872672	5	test
Gated+WBCE	0.12	recall	0.8712328767123287	0.02766234014769124	5	test
