raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
229533.A0A098CYV1	229533.I1RUP2	FGRAMPH1_01G00009	FGRAMPH1_01G26039	True		360	280	0	0
229533.A0A098CYV1	229533.Q4I073	FGRAMPH1_01G00009		False	unmapped_B	264	0	0	0
229533.A0A098CYV1	229533.I1S8J1	FGRAMPH1_01G00009	FGRAMPH1_01G25201	True		508	130	150	310
229533.A0A098CYV1	229533.I1S9Z4	FGRAMPH1_01G00009	FGRAMPH1_01G06935	True		418	0	0	0
229533.A0A098CYV1	229533.I1S272	FGRAMPH1_01G00009	FGRAMPH1_01G20645	True		644	352	136	335
229533.A0A098CYV1	229533.A0A1C3YJ04	FGRAMPH1_01G00009	FGRAMPH1_01G07281	True		220	0	0	0
229533.A0A098CYV1	229533.I1RNK6	FGRAMPH1_01G00009	FGRAMPH1_01G18277	True		317	104	0	270
229533.A0A098CYV1	229533.I1RHJ2	FGRAMPH1_01G00009	FGRAMPH1_01G12421	True		374	185	0	0
229533.A0A098CYV1	229533.A0A1C3YMS7	FGRAMPH1_01G00009	FGRAMPH1_01G11973	True		318	0	0	296
229533.A0A098CYV1	229533.A0A0E0SK74	FGRAMPH1_01G00009	FGRAMPH1_01G18017	True		255	186	0	0
229533.A0A098CYV1	229533.I1RRJ3	FGRAMPH1_01G00009	FGRAMPH1_01G22995	True		175	101	0	0
229533.A0A098CYV1	229533.A0A098E3M9	FGRAMPH1_01G00009	FGRAMPH1_01G18925	True		201	0	0	0
229533.A0A098CYV1	229533.I1RCR2	FGRAMPH1_01G00009	FGRAMPH1_01G03413	True		317	104	0	270
229533.A0A098CYV1	229533.A0A1C3YLB6	FGRAMPH1_01G00009	FGRAMPH1_01G25855	True		183	0	0	0
229533.A0A098CYV1	229533.I1RD80	FGRAMPH1_01G00009	FGRAMPH1_01G03831	True		434	432	0	0
229533.A0A098CYV1	229533.I1RW78	FGRAMPH1_01G00009	FGRAMPH1_01G10211	True		195	0	0	0
229533.A0A098CYV1	229533.Q4IPB8	FGRAMPH1_01G00009		False	unmapped_B	316	0	0	257
229533.A0A098CYV1	229533.I1RGX1	FGRAMPH1_01G00009	FGRAMPH1_01G11821	True		245	146	0	0
229533.A0A098CYV1	229533.I1RJ93	FGRAMPH1_01G00009	FGRAMPH1_01G13993	True		191	134	0	0
229533.A0A098CYV1	229533.V6QT89	FGRAMPH1_01G00009	FGRAMPH1_01G00719	True		218	0	0	0
229533.A0A098CYV1	229533.A0A1C3YMN0	FGRAMPH1_01G00009	FGRAMPH1_01G11527	True		334	283	0	0
229533.A0A098CYV1	229533.A0A1C3YKJ3	FGRAMPH1_01G00009	FGRAMPH1_01G20131	True		191	134	0	0
229533.A0A098CYV1	229533.V6R9L8	FGRAMPH1_01G00009	FGRAMPH1_01G17757	True		191	134	0	0
229533.A0A098CYV1	229533.I1R9P7	FGRAMPH1_01G00009	FGRAMPH1_01G00539	True		162	145	0	0
229533.A0A098CYV1	229533.A0A1C3YIB0	FGRAMPH1_01G00009	FGRAMPH1_01G04021	True		157	111	0	0
229533.A0A098CYV1	229533.I1RSF1	FGRAMPH1_01G00009	FGRAMPH1_01G23885	True		240	126	0	0
229533.A0A098CYV1	229533.I1RZM3	FGRAMPH1_01G00009	FGRAMPH1_01G06725	True		570	285	0	324
229533.A0A098CYV1	229533.I1RQK5	FGRAMPH1_01G00009	FGRAMPH1_01G20095	True		204	204	0	0
229533.A0A098CYV1	229533.I1REW1	FGRAMPH1_01G00009	FGRAMPH1_01G05339	True		191	134	0	0
229533.A0A098CYV1	229533.A0A1C3YKS9	FGRAMPH1_01G00009	FGRAMPH1_01G23553	True		188	86	0	0
229533.A0A098CYV1	229533.A0A098D2Y5	FGRAMPH1_01G00009	FGRAMPH1_01G03055	True		153	0	0	0
229533.A0A098CYV1	229533.I1RHJ8	FGRAMPH1_01G00009	FGRAMPH1_01G12435	True		508	130	150	310
229533.A0A098CYV1	229533.I1RZ95	FGRAMPH1_01G00009	FGRAMPH1_01G26425	True		250	65	0	0
229533.A0A098CYV1	229533.I1RN84	FGRAMPH1_01G00009	FGRAMPH1_01G17941	True		254	100	0	0
229533.A0A098CYV1	229533.I1S2L1	FGRAMPH1_01G00009	FGRAMPH1_01G21001	True		162	145	0	0
229533.A0A098CYV1	229533.I1RL06	FGRAMPH1_01G00009	FGRAMPH1_01G15627	True		310	94	0	270
229533.A0A098CYV1	229533.I1RLW5	FGRAMPH1_01G00009	FGRAMPH1_01G16675	True		202	147	0	0
229533.A0A098CYV1	229533.I1RDI6	FGRAMPH1_01G00009	FGRAMPH1_01G04103	True		213	0	0	0
229533.A0A098CYV1	229533.I1S444	FGRAMPH1_01G00009	FGRAMPH1_01G06693	True		341	341	0	0
229533.A0A098CYV1	229533.I1RBS5	FGRAMPH1_01G00009	FGRAMPH1_01G02547	True		224	152	0	0
229533.A0A098CYV1	229533.A0A1C3YHP2	FGRAMPH1_01G00009	FGRAMPH1_01G01281	True		223	169	0	0
229533.A0A098CYV1	229533.A0A098DXB4	FGRAMPH1_01G00009	FGRAMPH1_01G18353	True		471	281	0	0
229533.A0A098CYV1	229533.I1RX18	FGRAMPH1_01G00009	FGRAMPH1_01G11019	True		191	134	0	0
229533.A0A098CYV1	229533.A0A1C3YJ31	FGRAMPH1_01G00009	FGRAMPH1_01G06807	True		162	145	0	0
