taxid	uniprot_id	species_name	domain	scientific_name	kingdom	phylum	class	order	family	genus	species
610380	UP000008237	Harpegnathos saltator	Eukaryota	Harpegnathos saltator	k__Eukaryota	p__Arthropoda	c__Insecta	o__Hymenoptera	f__Formicidae	g__Harpegnathos	s__Harpegnathos saltator
619300	UP000000709	Spathaspora passalidarum (strain NRRL Y-27907 / 11-Y1)	Eukaryota	Spathaspora passalidarum NRRL Y-27907	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Spathaspora	s__Spathaspora passalidarum
6279	UP000006672	Brugia malayi	Eukaryota	Brugia malayi	k__Eukaryota	p__Nematoda	c__Chromadorea	o__Rhabditida	f__Onchocercidae	g__Brugia	s__Brugia malayi
6293	UP000270924	Wuchereria bancrofti	Eukaryota	Wuchereria bancrofti	k__Eukaryota	p__Nematoda	c__Chromadorea	o__Rhabditida	f__Onchocercidae	g__Wuchereria	s__Wuchereria bancrofti
6334	UP000054776	Trichinella spiralis	Eukaryota	Trichinella spiralis	k__Eukaryota	p__Nematoda	c__Enoplea	o__Trichinellida	f__Trichinellidae	g__Trichinella	s__Trichinella spiralis
644223	UP000000314	Komagataella phaffii (strain GS115 / ATCC 20864)	Eukaryota	Komagataella phaffii GS115	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	g__Komagataella	s__Komagataella phaffii
644352	UP000006039	Gaeumannomyces tritici (strain R3-111a-1)	Eukaryota	Gaeumannomyces tritici R3-111a-1	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Magnaporthales	f__Magnaporthaceae	g__Gaeumannomyces	s__Gaeumannomyces tritici
650164	UP000008370	Phanerochaete carnosa (strain HHB-10118-sp)	Eukaryota	Phanerochaete carnosa HHB-10118-sp	k__Eukaryota	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	g__Phanerochaete	s__Phanerochaete carnosa
431595	UP000019132	Globisporangium ultimum (strain ATCC 200006 / CBS 805.95 / DAOM BR144)	Eukaryota	Globisporangium ultimum DAOM BR144	k__Eukaryota	p__Oomycota	c__unclassified Oomycota class	o__Pythiales	f__Pythiaceae	g__Globisporangium	s__Globisporangium ultimum
655819	UP000002762	Beauveria bassiana (strain ARSEF 2860)	Eukaryota	Beauveria bassiana ARSEF 2860	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Beauveria	s__Beauveria bassiana
655827	UP000002499	Metarhizium acridum (strain CQMa 102)	Eukaryota	Metarhizium acridum CQMa 102	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	g__Metarhizium	s__Metarhizium acridum
655863	UP000007796	Grosmannia clavigera (strain kw1407 / UAMH 11150)	Eukaryota	Grosmannia clavigera kw1407	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Ophiostomatales	f__Ophiostomataceae	g__Leptographium	s__Leptographium clavigerum
658429	UP000011064	Pseudogymnoascus destructans (strain ATCC MYA-4855 / 20631-21)	Eukaryota	Pseudogymnoascus destructans 20631-21	k__Eukaryota	p__Ascomycota	c__Leotiomycetes	o__unclassified Leotiomycetes order	f__Pseudeurotiaceae	g__Pseudogymnoascus	s__Pseudogymnoascus destructans
671144	UP000005242	Wallemia mellicola (strain ATCC MYA-4683 / CBS 633.66)	Eukaryota	Wallemia mellicola CBS 633.66	k__Eukaryota	p__Basidiomycota	c__Wallemiomycetes	o__Wallemiales	f__Wallemiaceae	g__Wallemia	s__Wallemia mellicola
7029	UP000007819	Acyrthosiphon pisum	Eukaryota	Acyrthosiphon pisum	k__Eukaryota	p__Arthropoda	c__Insecta	o__Hemiptera	f__Aphididae	g__Acyrthosiphon	s__Acyrthosiphon pisum
70448	UP000009170	Ostreococcus tauri	Eukaryota	Ostreococcus tauri	k__Eukaryota	p__Chlorophyta	c__Mamiellophyceae	o__Mamiellales	f__Bathycoccaceae	g__Ostreococcus	s__Ostreococcus tauri
7070	UP000007266	Tribolium castaneum	Eukaryota	Tribolium castaneum	k__Eukaryota	p__Arthropoda	c__Insecta	o__Coleoptera	f__Tenebrionidae	g__Tribolium	s__Tribolium castaneum
