species_key	focal_taxid	query_level_taxid	query_level_name	member_orthodb_organism_id	member_taxid	member_scientific_name
celegans	6239	2759	Eukaryota	6999_0	6999	Gryllus bimaculatus
celegans	6239	2759	Eukaryota	7009_0	7009	Schistocerca americana
celegans	6239	2759	Eukaryota	7010_0	7010	Schistocerca gregaria
celegans	6239	2759	Eukaryota	7011_0	7011	Schistocerca nitens
celegans	6239	2759	Eukaryota	7011_1	7011	Schistocerca nitens
celegans	6239	2759	Eukaryota	7029_0	7029	Acyrthosiphon pisum
celegans	6239	2759	Eukaryota	7029_1	7029	Acyrthosiphon pisum
celegans	6239	2759	Eukaryota	7038_0	7038	Bemisia tabaci
celegans	6239	2759	Eukaryota	7048_0	7048	Sitophilus oryzae
celegans	6239	2759	Eukaryota	7048_1	7048	Sitophilus oryzae
celegans	6239	2759	Eukaryota	7054_0	7054	Photinus pyralis
celegans	6239	2759	Eukaryota	7061_0	7061	Melolontha melolontha
celegans	6239	2759	Eukaryota	7067_0	7067	Tenebrio molitor
celegans	6239	2759	Eukaryota	7070_0	7070	Tribolium castaneum
celegans	6239	2759	Eukaryota	7084_0	7084	Adalia bipunctata
celegans	6239	2759	Eukaryota	7091_0	7091	Bombyx mori
celegans	6239	2759	Eukaryota	7092_0	7092	Bombyx mandarina
celegans	6239	2759	Eukaryota	7092_1	7092	Bombyx mandarina
celegans	6239	2759	Eukaryota	7107_0	7107	Spodoptera exigua
celegans	6239	2759	Eukaryota	7108_0	7108	Spodoptera frugiperda
celegans	6239	2759	Eukaryota	7109_0	7109	Spodoptera littoralis
celegans	6239	2759	Eukaryota	7111_0	7111	Trichoplusia ni
celegans	6239	2759	Eukaryota	7113_0	7113	Helicoverpa zea
celegans	6239	2759	Eukaryota	7113_1	7113	Helicoverpa zea
celegans	6239	2759	Eukaryota	7116_0	7116	Pieris brassicae
celegans	6239	2759	Eukaryota	7130_0	7130	Manduca sexta
celegans	6239	2759	Eukaryota	7130_1	7130	Manduca sexta
celegans	6239	2759	Eukaryota	7137_0	7137	Galleria mellonella
celegans	6239	2759	Eukaryota	7141_0	7141	Choristoneura fumiferana
celegans	6239	2759	Eukaryota	7159_0	7159	Aedes aegypti
celegans	6239	2759	Eukaryota	7160_0	7160	Aedes albopictus
