raw_id	raw_id_type	mapped_graph_gene_id	mapped_canonical_gene_id	mapping_status	mapping_rule
FGRAMPH1_01G00909	ph1_gene_id	FGRAMPH1_01G00909	fgraminearum::FGRAMPH1_01G00909	resolved	exact_mainline_graph_id
FGRAMPH1_01G00911	ph1_gene_id	FGRAMPH1_01G00911	fgraminearum::FGRAMPH1_01G00911	resolved	exact_mainline_graph_id
FGRAMPH1_01G00919	ph1_gene_id	FGRAMPH1_01G00919	fgraminearum::FGRAMPH1_01G00919	resolved	exact_mainline_graph_id
FGRAMPH1_01G00923	ph1_gene_id	FGRAMPH1_01G00923	fgraminearum::FGRAMPH1_01G00923	resolved	exact_mainline_graph_id
FGRAMPH1_01G00929	ph1_gene_id	FGRAMPH1_01G00929	fgraminearum::FGRAMPH1_01G00929	resolved	exact_mainline_graph_id
FGRAMPH1_01G00931	ph1_gene_id	FGRAMPH1_01G00931	fgraminearum::FGRAMPH1_01G00931	resolved	exact_mainline_graph_id
FGRAMPH1_01G00933	ph1_gene_id	FGRAMPH1_01G00933	fgraminearum::FGRAMPH1_01G00933	resolved	exact_mainline_graph_id
FGRAMPH1_01G00939	ph1_gene_id	FGRAMPH1_01G00939	fgraminearum::FGRAMPH1_01G00939	resolved	exact_mainline_graph_id
FGRAMPH1_01G00941	ph1_gene_id	FGRAMPH1_01G00941	fgraminearum::FGRAMPH1_01G00941	resolved	exact_mainline_graph_id
FGRAMPH1_01G00945	ph1_gene_id	FGRAMPH1_01G00945	fgraminearum::FGRAMPH1_01G00945	resolved	exact_mainline_graph_id
FGRAMPH1_01G00947	ph1_gene_id	FGRAMPH1_01G00947	fgraminearum::FGRAMPH1_01G00947	resolved	exact_mainline_graph_id
FGRAMPH1_01G00949	ph1_gene_id	FGRAMPH1_01G00949	fgraminearum::FGRAMPH1_01G00949	resolved	exact_mainline_graph_id
FGRAMPH1_01G00953	ph1_gene_id	FGRAMPH1_01G00953	fgraminearum::FGRAMPH1_01G00953	resolved	exact_mainline_graph_id
FGRAMPH1_01G00957	ph1_gene_id	FGRAMPH1_01G00957	fgraminearum::FGRAMPH1_01G00957	resolved	exact_mainline_graph_id
FGRAMPH1_01G00959	ph1_gene_id	FGRAMPH1_01G00959	fgraminearum::FGRAMPH1_01G00959	resolved	exact_mainline_graph_id
