raw_id	raw_id_type	mapped_graph_gene_id	mapped_canonical_gene_id	mapping_status	mapping_rule
FGRAMPH1_01G01059	ph1_gene_id	FGRAMPH1_01G01059	fgraminearum::FGRAMPH1_01G01059	resolved	exact_mainline_graph_id
FGRAMPH1_01G01069	ph1_gene_id	FGRAMPH1_01G01069	fgraminearum::FGRAMPH1_01G01069	resolved	exact_mainline_graph_id
FGRAMPH1_01G01081	ph1_gene_id	FGRAMPH1_01G01081	fgraminearum::FGRAMPH1_01G01081	resolved	exact_mainline_graph_id
FGRAMPH1_01G01101	ph1_gene_id	FGRAMPH1_01G01101	fgraminearum::FGRAMPH1_01G01101	resolved	exact_mainline_graph_id
FGRAMPH1_01G01107	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G01111	ph1_gene_id	FGRAMPH1_01G01111	fgraminearum::FGRAMPH1_01G01111	resolved	exact_mainline_graph_id
FGRAMPH1_01G01113	ph1_gene_id	FGRAMPH1_01G01113	fgraminearum::FGRAMPH1_01G01113	resolved	exact_mainline_graph_id
FGRAMPH1_01G01117	ph1_gene_id	FGRAMPH1_01G01117	fgraminearum::FGRAMPH1_01G01117	resolved	exact_mainline_graph_id
FGRAMPH1_01G01141	ph1_gene_id	FGRAMPH1_01G01141	fgraminearum::FGRAMPH1_01G01141	resolved	exact_mainline_graph_id
FGRAMPH1_01G01143	ph1_gene_id	FGRAMPH1_01G01143	fgraminearum::FGRAMPH1_01G01143	resolved	exact_mainline_graph_id
FGRAMPH1_01G01147	ph1_gene_id	FGRAMPH1_01G01147	fgraminearum::FGRAMPH1_01G01147	resolved	exact_mainline_graph_id
FGRAMPH1_01G01151	ph1_gene_id	FGRAMPH1_01G01151	fgraminearum::FGRAMPH1_01G01151	resolved	exact_mainline_graph_id
FGRAMPH1_01G01161	ph1_gene_id	FGRAMPH1_01G01161	fgraminearum::FGRAMPH1_01G01161	resolved	exact_mainline_graph_id
FGRAMPH1_01G01163	ph1_gene_id	FGRAMPH1_01G01163	fgraminearum::FGRAMPH1_01G01163	resolved	exact_mainline_graph_id
FGRAMPH1_01G01169	ph1_gene_id	FGRAMPH1_01G01169	fgraminearum::FGRAMPH1_01G01169	resolved	exact_mainline_graph_id
FGRAMPH1_01G01173	ph1_gene_id	FGRAMPH1_01G01173	fgraminearum::FGRAMPH1_01G01173	resolved	exact_mainline_graph_id
FGRAMPH1_01G01181	ph1_gene_id	FGRAMPH1_01G01181	fgraminearum::FGRAMPH1_01G01181	resolved	exact_mainline_graph_id
FGRAMPH1_01G01197	ph1_gene_id	FGRAMPH1_01G01197	fgraminearum::FGRAMPH1_01G01197	resolved	exact_mainline_graph_id
FGRAMPH1_01G01201	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G01203	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G01205	ph1_gene_id	FGRAMPH1_01G01205	fgraminearum::FGRAMPH1_01G01205	resolved	exact_mainline_graph_id
FGRAMPH1_01G01213	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G01229	ph1_gene_id	FGRAMPH1_01G01229	fgraminearum::FGRAMPH1_01G01229	resolved	exact_mainline_graph_id
FGRAMPH1_01G01245	ph1_gene_id	FGRAMPH1_01G01245	fgraminearum::FGRAMPH1_01G01245	resolved	exact_mainline_graph_id
FGRAMPH1_01G01253	ph1_gene_id	FGRAMPH1_01G01253	fgraminearum::FGRAMPH1_01G01253	resolved	exact_mainline_graph_id
FGRAMPH1_01G01255	ph1_gene_id	FGRAMPH1_01G01255	fgraminearum::FGRAMPH1_01G01255	resolved	exact_mainline_graph_id
FGRAMPH1_01G01263	ph1_gene_id	FGRAMPH1_01G01263	fgraminearum::FGRAMPH1_01G01263	resolved	exact_mainline_graph_id
FGRAMPH1_01G01267	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G01277	ph1_gene_id	FGRAMPH1_01G01277	fgraminearum::FGRAMPH1_01G01277	resolved	exact_mainline_graph_id
FGRAMPH1_01G01281	ph1_gene_id	FGRAMPH1_01G01281	fgraminearum::FGRAMPH1_01G01281	resolved	exact_mainline_graph_id
FGRAMPH1_01G01287	ph1_gene_id	FGRAMPH1_01G01287	fgraminearum::FGRAMPH1_01G01287	resolved	exact_mainline_graph_id
FGRAMPH1_01G01289	ph1_gene_id	FGRAMPH1_01G01289	fgraminearum::FGRAMPH1_01G01289	resolved	exact_mainline_graph_id
FGRAMPH1_01G01291	ph1_gene_id	FGRAMPH1_01G01291	fgraminearum::FGRAMPH1_01G01291	resolved	exact_mainline_graph_id
FGRAMPH1_01G01295	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G01297	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G01299	ph1_gene_id	FGRAMPH1_01G01299	fgraminearum::FGRAMPH1_01G01299	resolved	exact_mainline_graph_id
FGRAMPH1_01G01323	ph1_gene_id	FGRAMPH1_01G01323	fgraminearum::FGRAMPH1_01G01323	resolved	exact_mainline_graph_id
FGRAMPH1_01G01339	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G01349	ph1_gene_id	FGRAMPH1_01G01349	fgraminearum::FGRAMPH1_01G01349	resolved	exact_mainline_graph_id
FGRAMPH1_01G01353	ph1_gene_id	FGRAMPH1_01G01353	fgraminearum::FGRAMPH1_01G01353	resolved	exact_mainline_graph_id
FGRAMPH1_01G01355	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G01357	ph1_gene_id	FGRAMPH1_01G01357	fgraminearum::FGRAMPH1_01G01357	resolved	exact_mainline_graph_id
FGRAMPH1_01G01363	ph1_gene_id	FGRAMPH1_01G01363	fgraminearum::FGRAMPH1_01G01363	resolved	exact_mainline_graph_id
FGRAMPH1_01G01365	ph1_gene_id	FGRAMPH1_01G01365	fgraminearum::FGRAMPH1_01G01365	resolved	exact_mainline_graph_id
FGRAMPH1_01G01381	ph1_gene_id	FGRAMPH1_01G01381	fgraminearum::FGRAMPH1_01G01381	resolved	exact_mainline_graph_id
FGRAMPH1_01G01399	ph1_gene_id	FGRAMPH1_01G01399	fgraminearum::FGRAMPH1_01G01399	resolved	exact_mainline_graph_id
FGRAMPH1_01G01403	ph1_gene_id	FGRAMPH1_01G01403	fgraminearum::FGRAMPH1_01G01403	resolved	exact_mainline_graph_id
FGRAMPH1_01G01405	ph1_gene_id	FGRAMPH1_01G01405	fgraminearum::FGRAMPH1_01G01405	resolved	exact_mainline_graph_id
FGRAMPH1_01G01415	ph1_gene_id	FGRAMPH1_01G01415	fgraminearum::FGRAMPH1_01G01415	resolved	exact_mainline_graph_id
FGRAMPH1_01G01417	ph1_gene_id	FGRAMPH1_01G01417	fgraminearum::FGRAMPH1_01G01417	resolved	exact_mainline_graph_id
FGRAMPH1_01G01421	ph1_gene_id	FGRAMPH1_01G01421	fgraminearum::FGRAMPH1_01G01421	resolved	exact_mainline_graph_id
FGRAMPH1_01G01423	ph1_gene_id	FGRAMPH1_01G01423	fgraminearum::FGRAMPH1_01G01423	resolved	exact_mainline_graph_id
FGRAMPH1_01G01427	ph1_gene_id	FGRAMPH1_01G01427	fgraminearum::FGRAMPH1_01G01427	resolved	exact_mainline_graph_id
FGRAMPH1_01G01429	ph1_gene_id	FGRAMPH1_01G01429	fgraminearum::FGRAMPH1_01G01429	resolved	exact_mainline_graph_id
