raw_string_protein_id	alias_count	matched_aliases	mapped_gene_id	mapping_status	mapping_method	evidence
7227.FBpp0082022	58			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082025	45	FBgn0037988(Ensembl_flybase_gene_id); FBgn0037988(Ensembl_gene); FBgn0037988(UniProt_DR_FlyBase)	FBgn0037988	mapped	alias_match	KEGG_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING
7227.FBpp0082026	42			unmapped		KEGG_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING
7227.FBpp0082027	57	FBgn0051358(Ensembl_flybase_gene_id); FBgn0051358(Ensembl_gene); FBgn0051358(UniProt_DR_FlyBase)	FBgn0051358	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082031	40	FBgn0038000(Ensembl_flybase_gene_id); FBgn0038000(Ensembl_gene); FBgn0038000(UniProt_DR_FlyBase)	FBgn0038000	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082032	40			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082033	41	FBgn0038008(Ensembl_flybase_gene_id); FBgn0038008(Ensembl_gene); FBgn0038008(UniProt_DR_FlyBase)	FBgn0038008	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082035	84			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; UniProt_ID
7227.FBpp0082037	41			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082038	38	FBgn0038011(Ensembl_flybase_gene_id); FBgn0038011(Ensembl_gene); FBgn0038011(UniProt_DR_FlyBase)	FBgn0038011	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082039	40	FBgn0038012(Ensembl_flybase_gene_id); FBgn0038012(Ensembl_gene); FBgn0038012(UniProt_DR_FlyBase)	FBgn0038012	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
