raw_probe_id	mapped_gene_id	mapping_status	mapping_method
Q7L4E1	ENSG00000148343	mapped	alias_bridge
Q7L4I2	ENSG00000111011	mapped	alias_bridge
Q7L4P6	ENSG00000162373	mapped	alias_bridge
Q7L4S7	ENSG00000198960	mapped	alias_bridge
Q7L513	ENSG00000132185	mapped	alias_bridge
Q7L523	ENSG00000155876	mapped	alias_bridge
Q7L576	ENSG00000273749	mapped	alias_bridge
Q7L590	ENSG00000065328	mapped	alias_bridge
Q7L591	ENSG00000146094	mapped	alias_bridge
Q7L592	ENSG00000003509	mapped	alias_bridge
Q7L5A3	ENSG00000005238	mapped	alias_bridge
Q7L5A8	ENSG00000103089	mapped	alias_bridge
Q7L5D6	ENSG00000239857	mapped	alias_bridge
Q7L5L3	ENSG00000102886	mapped	alias_bridge
Q7L5N1	ENSG00000168090	mapped	alias_bridge
Q7L5N7	ENSG00000087253	mapped	alias_bridge
Q7L5Y1	ENSG00000132199	mapped	alias_bridge
Q7L5Y6	ENSG00000140543	mapped	alias_bridge
