source_ref_db	source_locus	source_gene	essentiality	matched_gene_id	match_type	match_status
PomBase	SPAC23C4.14	alg1	E	SPAC23C4.14.1:pep	locus_exact	matched
PomBase	SPAC23C4.15	rpb5	E	SPAC23C4.15.1:pep	locus_exact	matched
PomBase	SPAC23C4.18c	rad4	E	SPAC23C4.18c.1:pep	locus_exact	matched
PomBase	SPAC23C4.19	spt5	E	SPAC23C4.19.1:pep	locus_exact	matched
PomBase	SPAC23D3.02	rfc2	E	SPAC23D3.02.1:pep	locus_exact	matched
PomBase	SPAC23D3.06c	nup146	E	SPAC23D3.06c.1:pep	locus_exact	matched
PomBase	SPAC23D3.07	pup1	E	SPAC23D3.07.1:pep	locus_exact	matched
PomBase	SPAC23D3.08	usp108	E	SPAC23D3.08.1:pep	locus_exact	matched
PomBase	SPAC23E2.02	lsd2	E	SPAC23E2.02.1:pep	locus_exact	matched
PomBase	SPAC23G3.01	rpb2	E	SPAC23G3.01.1:pep	locus_exact	matched
PomBase	SPAC23G3.06	nop58	E	SPAC23G3.06.1:pep	locus_exact	matched
PomBase	SPAC23G3.09	taf4	E	SPAC23G3.09.1:pep	locus_exact	matched
PomBase	SPAC23G3.10c	ssr3	E	SPAC23G3.10c.1:pep	locus_exact	matched
PomBase	SPAC23G3.11	rpn6	E	SPAC23G3.11.1:pep	locus_exact	matched
PomBase	SPAC23H3.02c	ini1	E	SPAC23H3.02c.1:pep	locus_exact	matched
PomBase	SPAC23H3.07c	mrp2	E	SPAC23H3.07c.1:pep	locus_exact	matched
PomBase	SPAC23H3.10	ssr2	E	SPAC23H3.10.1:pep	locus_exact	matched
PomBase	SPAC23H3.15c	SPAC23H3.15c	E	SPAC23H3.15c.1:pep	locus_exact	matched
PomBase	SPAC23H4.03c	erv25	E	SPAC23H4.03c.1:pep	locus_exact	matched
PomBase	SPAC23H4.04	slm3	E	SPAC23H4.04.1:pep	locus_exact	matched
PomBase	SPAC23H4.06	gln1	E	SPAC23H4.06.1:pep	locus_exact	matched
PomBase	SPAC23H4.07c	srp102	E	SPAC23H4.07c.1:pep	locus_exact	matched
PomBase	SPAC23H4.11c	cnl2	E	SPAC23H4.11c.1:pep	locus_exact	matched
