gene_id	source_ref_db	source_locus	source_gene	match_type
SPAC24C9.09.1:pep	PomBase	SPAC24C9.09	SPAC24C9.09	locus_exact
SPAC24C9.10c.1:pep	PomBase	SPAC24C9.10c	mrp4	locus_exact
SPAC24C9.11.1:pep	PomBase	SPAC24C9.11	sgd1	locus_exact
SPAC24C9.13c.1:pep	PomBase	SPAC24C9.13c	mrp10	locus_exact
SPAC24H6.01c.1:pep	PomBase	SPAC24H6.01c	gup1	locus_exact
SPAC24H6.05.1:pep	PomBase	SPAC24H6.05	cdc25	locus_exact
SPAC24H6.06.1:pep	PomBase	SPAC24H6.06	sld3	locus_exact
SPAC24H6.12c.1:pep	PomBase	SPAC24H6.12c	uba3	locus_exact
SPAC25B8.02.1:pep	PomBase	SPAC25B8.02	sds3	locus_exact
SPAC25B8.06c.1:pep	PomBase	SPAC25B8.06c	dia4	locus_exact
SPAC25B8.14.1:pep	PomBase	SPAC25B8.14	mal2	locus_exact
SPAC25B8.16.1:pep	PomBase	SPAC25B8.16	pop100	locus_exact
SPAC25G10.07c.1:pep	PomBase	SPAC25G10.07c	cut7	locus_exact
SPAC25G10.08.1:pep	PomBase	SPAC25G10.08	SPAC25G10.08	locus_exact
SPAC25H1.08c.1:pep	PomBase	SPAC25H1.08c	sqt1	locus_exact
SPAC26A3.03c.1:pep	PomBase	SPAC26A3.03c	rmi1	locus_exact
SPAC26A3.05.1:pep	PomBase	SPAC26A3.05	chc1	locus_exact
SPAC26A3.08.1:pep	PomBase	SPAC26A3.08	smb1	locus_exact
SPAC26A3.12c.1:pep	PomBase	SPAC26A3.12c	dhp1	locus_exact
SPAC26A3.15c.1:pep	PomBase	SPAC26A3.15c	nsp1	locus_exact
SPAC26F1.03.1:pep	PomBase	SPAC26F1.03	pda1	locus_exact
SPAC26F1.06.1:pep	PomBase	SPAC26F1.06	gpm1	locus_exact
SPAC26F1.13c.1:pep	PomBase	SPAC26F1.13c	lrs1	locus_exact
SPAC26H5.06.1:pep	PomBase	SPAC26H5.06	pot1	locus_exact
SPAC26H5.12.1:pep	PomBase	SPAC26H5.12	rpo41	locus_exact
SPAC26H5.13c.1:pep	PomBase	SPAC26H5.13c	kei1	locus_exact
SPAC27D7.07c.1:pep	PomBase	SPAC27D7.07c	smd1	locus_exact
SPAC27E2.05.1:pep	PomBase	SPAC27E2.05	cdc1	locus_exact
SPAC27E2.06c.1:pep	PomBase	SPAC27E2.06c	msm1	locus_exact
SPAC27E2.10c.1:pep	PomBase	SPAC27E2.10c	rfc3	locus_exact
SPAC27F1.02c.1:pep	PomBase	SPAC27F1.02c	cdc8	locus_exact
SPAC27F1.04c.1:pep	PomBase	SPAC27F1.04c	nuf2	locus_exact
SPAC27F1.07.1:pep	PomBase	SPAC27F1.07	ost1	locus_exact
SPAC27F1.09c.1:pep	PomBase	SPAC27F1.09c	prp10	locus_exact
SPAC29A4.03c.1:pep	PomBase	SPAC29A4.03c	mrps9	locus_exact
SPAC29A4.04c.1:pep	PomBase	SPAC29A4.04c	cbf5	locus_exact
SPAC29A4.06c.1:pep	PomBase	SPAC29A4.06c	SPAC29A4.06c	locus_exact
SPAC29A4.07.1:pep	PomBase	SPAC29A4.07	srb6	locus_exact
SPAC29A4.08c.1:pep	PomBase	SPAC29A4.08c	prp19	locus_exact
SPAC29A4.10.1:pep	PomBase	SPAC29A4.10	rrn5	locus_exact
SPAC29A4.15.1:pep	PomBase	SPAC29A4.15	srs1	locus_exact
SPAC29A4.16.1:pep	PomBase	SPAC29A4.16	hal4	locus_exact
SPAC29B12.01.1:pep	PomBase	SPAC29B12.01	ino80	locus_exact
SPAC29B12.07.1:pep	PomBase	SPAC29B12.07	sec16	locus_exact
SPAC29E6.02.1:pep	PomBase	SPAC29E6.02	prp3	locus_exact
SPAC29E6.03c.1:pep	PomBase	SPAC29E6.03c	uso1	locus_exact
SPAC29E6.04.1:pep	PomBase	SPAC29E6.04	nnf1	locus_exact
SPAC29E6.06c.1:pep	PomBase	SPAC29E6.06c	SPAC29E6.06c	locus_exact
SPAC29E6.08.1:pep	PomBase	SPAC29E6.08	tbp1	locus_exact
SPAC2C4.03c.1:pep	PomBase	SPAC2C4.03c	smd2	locus_exact
SPAC2C4.04c.1:pep	PomBase	SPAC2C4.04c	aim29	locus_exact
